Id,Type,Code,Name,Address1,Address2,Town,County,Country,PostCode,Telephone,FAX,Group_1,Group_2,Group_3,Group_4,Text_1,Text_2,Text_3,Text_4,Text_5,Number_1,Number_2,Number_3,Number_4,Number_5,Notes,Last_Update,Last_User,EMailNumber,Link_1,Link_2,Link_3,Link_4,Link_5,Checksum,NI_Building_Type,NI_Building_Category,Status,Number_6,Number_7,Number_8,Number_9,Number_10,Text_6,Text_7,Text_8,Text_9,Text_10,Factor_Region_Id,Latitude,Longitude
61,*,BBA1096-0690,SAT : Dalkeith (668),12 High Street,,Dalkeith,Mid Lothian,,EH22 1HR,0131 6600441,,0,0,0,82,04/04/2020,,,,668,442,0,0,0,0,,2022-05-12 10:57:16.000,paul.mallett,dalkeithshop@satcol.org,,,,,,-340146072,0,0,0,0,0,0,0,0,,,,,,280,0,0
62,*,BBA1096-0471,SAT : Penicuik (628) (Closed 06/10/21),25 John Street,,Penicuik,,,EH26 8HN,01968 679432,,0,0,0,82,04/04/2020,,,,628,118,0,0,0,0,,2022-06-21 09:02:41.000,becky.jardine,penicuikshop@satcol.org,,,,,,-288881488,0,0,276,0,0,0,0,0,,,,,,280,0,0
63,*,BBA1096-0472,SAT : Earl Grey Street (409),36 Earl Grey Street,,Edinburgh,,,EH3 9BN,0131 2298787,,0,0,0,82,04/04/2020,,,,409,166,0,0,0,0,,2022-05-12 10:54:45.000,paul.mallett,"edinburghearlgshop@satcol.org ",,,,,,337168346,0,0,0,0,0,0,0,0,,,,,,280,0,0
64,*,BBA1096-0474,SAT : Leith Walk (Edinburgh) (601),107-109 Leith Walk,,Edinburgh,,,EH6 8NP,0131 5545265,,0,0,0,82,04/04/2020,,,,601,139,0,0,0,0,,2022-05-12 10:54:47.000,paul.mallett,edinburghleithshop@satcol.org,,,,,,-199530847,0,0,0,0,0,0,0,0,,,,,,280,0,0
65,*,BBA1096-0739,SAT : Edinburgh - Newington Rd (692),65 Newington Road,,Edinburgh,Mid Lothian,,EH9 1QW,0131 6679104,,0,0,0,82,04/04/2020,,,,692,81,0,0,0,0,,2022-05-12 10:57:25.000,paul.mallett,newingtonshop@satcol.org,,,,,,-1361316807,0,0,0,0,0,0,0,0,,,,,,280,0,0
66,*,BBA1096-0475,SAT : Falkirk (427),32 High Street,,Falkirk,,,FK1 1EU,01324 621724,,0,0,0,82,04/04/2020,,,,427,166,0,0,0,0,,2022-05-12 10:54:48.000,paul.mallett,falkirkshop@satcol.org,,,,,,-509326359,0,0,0,0,0,0,0,0,,,,,,280,0,0
67,*,BBA1096-0476,SAT : Alloa (59),58 High Street,,Alloa,,,FK10 1JD,01259 720642,,0,0,0,82,04/04/2020,,,,59,128,0,0,0,0,,2022-05-12 10:54:50.000,paul.mallett,alloashop@satcol.org,,,,,,500292800,0,0,0,0,0,0,0,0,,,,,,280,0,0
68,*,BBA1096-0477,SAT : Cleveleys (645) CLOSED Nov 2020,22 Victoria Road West,,Thornton-Cleveleys,,,FY5 1BU,01253 823390,,0,0,0,76,04/04/2020,,,,645,104,0,0,0,0,,2022-06-23 10:34:42.000,becky.jardine,cleveleysshop@satcol.org,,,,,,-1395374953,0,0,0,0,0,0,0,0,,,,,,280,0,0
69,*,BBA1096-0478,SAT : Fleetwood (648) SITE CLOSED 28 NOV 2016,103 Lord Street,,Fleetwood,,,FY7 6JZ,01253 779097,,0,0,0,76,10/04/2019,,,,648,140,0,0,0,0,,2022-06-13 13:48:39.000,becky.jardine,,,,,,,209428712,0,0,276,0,0,0,0,0,,,,,,280,0,0
70,*,BBA1096-0702,SAT : Lytham St Annes  (680),12 St Anne's Road West,,Lytham St Anne's,,,FY8 1RF,01253 789877,,0,0,0,76,04/04/2020,,,,680,115,0,0,0,0,,2022-05-12 10:57:19.000,paul.mallett,stannesshop@satcol.org,,,,,,593976335,0,0,0,0,0,0,0,0,,,,,,280,0,0
71,*,BBA1096-0479,SAT : Dumbarton Rd (Glasgow) (31),Dumbarton Road Family Service Centre,91 Dumbarton Road,Glasgow,,,G11 6PW,0141 334 7253,,0,0,0,84,04/04/2020,,,,31,1022,0,0,0,0,,2022-05-12 10:54:55.000,paul.mallett,Anthony.Smith@satcol.org,,,,,,1667875373,0,0,0,0,0,0,0,0,,,,,,280,0,0
72,*,BBA1096-0480,SAT : 444 Dumbarton Rd (41),444 Dumbarton Road,Partick,Glasgow,,,G11 6SE,01413 342863,,0,0,0,84,04/04/2020,,,,41,124,0,0,0,0,,2022-05-12 10:54:56.000,paul.mallett,partickshop@satcol.org,,,,,,1600496513,0,0,0,0,0,0,0,0,,,,,,280,0,0
73,*,BBA1096-0481,SAT : Springburn (29),Unit 10 Springburn Shopping Centre,"230 Springburn Way, Springburn",Glasgow,,,G21 1TS,0141 557 5380,,0,0,0,84,04/04/2020,,,,29,186,0,0,0,0,,2023-02-23 14:29:04.000,becky.jardine,glasgowspringburnshop@satcol.org,,,,,,-962993737,0,0,0,0,0,0,0,0,,,,,,280,0,0
74,*,BBA1096-0482,SAT : Duke Street (304),374-376 Duke Street,,Glasgow,,,G31 1RE,0141 5567915,,0,0,0,84,04/04/2020,,,,304,109,0,0,0,0,,2022-05-12 10:54:59.000,paul.mallett,glasgowdukestshop@satcol.org,,,,,,-1547624728,0,0,0,0,0,0,0,0,,,,,,280,0,0
75,*,BBA1096-0483,SAT : Victoria Road (Glasgow) (604) CLOSED Sept 2020,433 Victoria Road,,Glasgow,,,G42 8RW,0141 423 7612,,0,0,0,84,04/04/2020,,,,604,103,0,0,0,0,,2022-06-21 09:08:22.000,becky.jardine,glasgowvictoriashop@satcol.org,,,,,,-316529734,0,0,276,0,0,0,0,0,,,,,,280,0,0
76,*,BBA1096-0485,SAT : Kirkintilloch (314),51 Cowgate,,Kirkintilloch,,,G66 1HW,0141 776 4491,,0,0,0,84,04/04/2020,,,,314,90,0,0,0,0,,2022-05-12 10:55:02.000,paul.mallett,kirkintillochshop@satcol.org,,,,,,-1792238729,0,0,0,0,0,0,0,0,,,,,,280,0,0
77,*,BBA1096-0486,SAT : Cumbernauld (406),12 Teviot Walk,Cumbernauld,Glasgow,,,G67 1NG,01236 720725,,0,0,0,84,04/04/2020,,,,406,150,0,0,0,0,,2022-05-12 10:55:04.000,paul.mallett,cumbernauldshop@satcol.org,,,,,,-1140929594,0,0,0,0,0,0,0,0,,,,,,280,0,0
129,*,BBA1096-0528,SAT : South Shields (623) CLOSED Oct 2020,49 Fowler Street,,South Shields,,,NE33 1NS,0191 456 2436,,0,0,0,78,04/04/2020,,,,623,112,0,0,0,0,,2022-06-21 09:05:07.000,becky.jardine,southshieldsshop@satcol.org,,,,,,1408186356,0,0,276,0,0,0,0,0,,,,,,280,0,0
130,*,BBA1096-0529,SAT : Ashington (649),22 Station Road,,Ashington,,,NE63 9UJ,01670 819073,,0,0,0,78,04/04/2020,,,,649,364,0,0,0,0,,2022-05-12 10:56:03.000,paul.mallett,ashingtonshop@satcol.org,,,,,,1186963386,0,0,0,0,0,0,0,0,,,,,,280,0,0
131,*,BBA1096-0530,SAT : Byker (58),2 Brinkburn Street,Byker,Newcastle-upon-Tyne,,,NE6 2AT,0191 265 4306,,0,0,0,78,04/04/2020,,,,58,190,0,0,0,0,,2022-05-12 10:56:05.000,paul.mallett,newcastlebykershop@satcol.org,,,,,,1174582729,0,0,0,0,0,0,0,0,,,,,,280,0,0
132,*,BBA1096-1024,SAT : Heaton (785),259 Chillingham Road,Heaton,Newcastle upon Tyne,,,NE6 5LL,01912289196,,0,0,0,78,04/04/2020,,,,785,121,0,0,0,0,,2022-05-12 10:58:47.000,paul.mallett,heatonshop@satcol.org,,,,,,1869193179,0,0,0,0,0,0,0,0,,,,,,280,0,0
133,*,BBA1096-0969,SAT : Morpeth (779),23 Newgate Street,,Morpeth,,,NE61 1AW,0167 0511699,,0,0,0,78,04/04/2020,,,,779,105,0,0,0,0,,2022-05-12 10:58:34.000,paul.mallett,morpethshop@satcol.org,,,,,,18149501,0,0,0,0,0,0,0,0,,,,,,280,0,0
134,*,BBA1096-0531,SAT : Alnwick (620),9-13 Bondgate Within,,Alnwick,,,NE66 1SX,01665 603143,,0,0,0,78,04/04/2020,,"15 January ",,620,129,0,0,0,0,,2022-05-12 10:56:06.000,paul.mallett,Alnwickshop@satcol.org,,,,,,1140619746,0,0,0,0,0,0,0,0,,,,,,280,0,0
135,*,BBA1096-0996,SAT : Gateshead (780),33 Jackson Street,,Gateshead,,,NE8 1EE,0191477 5544,,0,0,0,78,04/04/2020,,,,780,155,0,0,0,0,,2022-05-12 10:58:39.000,paul.mallett,gatesheadshop@satcol.org,,,,,,1734183082,0,0,0,0,0,0,0,0,,,,,,280,0,0
136,*,BBA1096-0871,SAT : N'ham St James St (707) SITE CLOSED AUG 2018,5-7 St James Street,Market Square House,Nottingham,,,NG1 6FH,0115 950 2580,,0,0,0,80,10/04/2019,,,,707,127,0,0,0,0,,2022-05-12 10:58:12.000,paul.mallett,nottinghamshop@satcol.org,,,,,,-1423179893,0,0,0,0,0,0,0,0,,,,,,280,0,0
146,*,BBA1096-0539,SAT : Wellingborough WH HQ (106),Head Office,66-78 Denington Road,Wellingborough,,,NN8 2QH,01933 441807,,0,0,0,70,04/04/2020,,,,106,5378,0,0,0,0,,2022-05-12 11:43:40.000,paul.mallett,,,,,,,1922605000,0,0,0,0,0,0,0,0,,,,,,280,0,0
148,*,BBA1096-0541,SAT : Paisley (301),39 High Street,,Paisley,,,PA1 2AF,0141 889 2947,,0,0,0,84,04/04/2020,,,,301,114,0,0,0,0,,2022-05-12 10:56:17.000,paul.mallett,paisleyshop@satcol.org,,,,,,835857594,0,0,0,0,0,0,0,0,,,,,,280,0,0
149,*,BBA1096-0693,SAT : Renfrew (629),13 High Street,,Renfrew,,,PA4 8QL,0141 886 3705,,0,0,0,84,04/04/2020,,,,629,102,0,0,0,0,,2022-05-12 10:57:18.000,paul.mallett,renfrewshop@satcol.org,,,,,,-1209189928,0,0,0,0,0,0,0,0,,,,,,280,0,0
150,*,BBA1096-0544,SAT : Johnstone (611),50c High Street,,Johnstone,,,PA5 8AN,01505 331874,,0,0,0,84,04/04/2020,,,,611,124,0,0,0,0,,2022-05-12 10:56:18.000,paul.mallett,johnstoneshop@satcol.org,,,,,,80918316,0,0,0,0,0,0,0,0,,,,,,280,0,0
78,*,BBA1096-0488,SAT : Blantyre (32),"Unit 6, 1A Clydeview Shopping Centre","Glasgow Road, Blantyre",Glasgow,,,G72 0DQ,01698 721716,,0,0,0,84,04/04/2020,,,,32,145,0,0,0,0,,2022-05-12 10:55:05.000,paul.mallett,glasgowclydeviewshop@satcol.org,,,,,,-1202576949,0,0,0,0,0,0,0,0,,,,,,280,0,0
79,*,BBA1096-0489,SAT : Cambuslang (28),1 Buchanan Drive,Cambuslang,Glasgow,,,G72 8HE,0141 6412237,,0,0,0,84,04/04/2020,,,,28,106,0,0,0,0,,2022-05-12 10:55:07.000,paul.mallett,cambuslangshop@satcol.org,,,,,,707233473,0,0,0,0,0,0,0,0,,,,,,280,0,0
80,*,BBA1096-0491,SAT : Dumbarton (632),91 High Street,,Dumbarton,,,G82 1LF,01389 762768,,0,0,0,84,04/04/2020,,,,632,127,0,0,0,0,,2022-05-12 10:55:08.000,paul.mallett,dumbartonshop@satcol.org,,,,,,-1312393086,0,0,0,0,0,0,0,0,,,,,,280,0,0
81,*,BBA1096-0492,SAT : Helensburgh  (62),8 West Princes Street,,Helensburgh,,,G84 8TD,01436 676015,,0,0,0,84,04/04/2020,,,,62,108,0,0,0,0,,2022-05-12 10:55:10.000,paul.mallett,"helensburghshop@satcol.org ",,,,,,1719193790,0,0,0,0,0,0,0,0,,,,,,280,0,0
82,*,BBA1096-0493,SAT : Gloucester Oxebode (33),22 The Oxebode,,Gloucester,,,GL1 1SA,01452 308483,,0,0,0,74,04/04/2020,,,,33,185,0,0,0,0,,2022-05-12 10:55:11.000,paul.mallett,gloucestershop@satcol.org,,,,,,-1859282486,0,0,0,0,0,0,0,0,,,,,,280,0,0
83,*,BBA1096-0494,SAT : Gloucester Eastgate (656),148 Eastgate Street,,Gloucester,,,GL1 1QU,01452 303804,,0,0,0,74,04/04/2020,,,,656,83,0,0,0,0,,2022-05-12 10:55:12.000,paul.mallett,eastgateshop@satcol.org,,,,,,1520831805,0,0,0,0,0,0,0,0,,,,,,280,0,0
84,*,BBA1096-0735,SAT : Ripon (688),Christelow,86 North Street,Ripon,,,HG4 1DP,01765 600455,,0,0,0,79,04/04/2020,,,,688,110,0,0,0,0,,2022-05-12 10:57:21.000,paul.mallett,riponshop@satcol.org,,,,,,-2038913167,0,0,0,0,0,0,0,0,,,,,,280,0,0
85,*,BBA1096-0972,SAT : Hemel Hempstead (766),207 Marlowes,,Hemel Hemstead,,,HP1 1BL,01442 266354,,0,0,0,70,04/04/2020,,,,766,166,0,0,0,0,,2022-05-12 10:58:36.000,paul.mallett,hemelhempsteadshop@satcol.org,,,,,,264853769,0,0,0,0,0,0,0,0,,,,,,280,0,0
86,*,BBA1096-0495,SAT : Ilford (38),208-210 High Road,,Ilford,Essex,,IG1 1QB,0208 478 8015,,0,0,0,70,04/04/2020,,,,38,190,0,0,0,0,,2022-05-12 10:55:14.000,paul.mallett,ilfordshop@satcol.org,,,,,,-599274972,0,0,0,0,0,0,0,0,,,,,,280,0,0
87,*,BBA1096-0854,SAT : Bury St Edmunds (705),60 Cornhill,,Bury St Edmonds,Suffolk,,IP33 1BE,01284 703971,,0,0,0,81,04/04/2020,,,,705,118,0,0,0,0,,2022-05-12 10:58:10.000,paul.mallett,burystedmundsshop@satcol.org,,,,,,-1304475923,0,0,0,0,0,0,0,0,,,,,,280,0,0
88,*,BBA1096-0496,SAT : Ipswich (47),41 Upper Brook Street,,Ipswich,Suffolk,,IP4 1DU,01473 226925,,0,0,0,81,04/04/2020,,,,47,277,0,0,0,0,,2022-05-12 10:55:15.000,paul.mallett,ipswichshop@satcol.org,,,,,,-797356519,0,0,0,0,0,0,0,0,,,,,,280,0,0
89,*,BBA1096-0898,SAT : Kilmarnock (765),73 King Street,,Kilmarnock,,,KA1 1PT,01563 523428,,0,0,0,84,04/04/2020,,,,765,86,0,0,0,0,,2022-08-26 11:32:19.000,paul.mallett,kilmarnockshop@satcol.org,,,,,,-262295125,0,0,0,0,0,0,0,0,,,,,,280,0,0
90,*,BBA1096-0798,SAT : Irvine (696),93 High Street,,Irvine,Ayrshire,,KA12 0AL,01294 270609,,0,0,0,84,04/04/2020,,,,696,70,0,0,0,0,,2022-05-12 10:57:34.000,paul.mallett,irvineshop@satcol.org,,,,,,-347361571,0,0,0,0,0,0,0,0,,,,,,280,0,0
91,*,BBA1096-0497,SAT : Kilwinning (307),Unit 1,72-80 Main Street,Kilwinning,,,KA13 6AG,01294 551435,,0,0,0,84,04/04/2020,,,,307,137,0,0,0,0,,2022-05-12 10:55:17.000,paul.mallett,kilwinningshop@satcol.org,,,,,,1462844670,0,0,0,0,0,0,0,0,,,,,,280,0,0
92,*,BBA1096-0498,SAT : Saltcoats (305),89 Dockhead Street,,Saltcoats,,,KA21 5ED,01294 603184,,0,0,0,84,04/04/2020,,,,305,114,0,0,0,0,,2022-05-12 10:55:19.000,paul.mallett,saltcoatsshop@satcol.org,,,,,,1613588065,0,0,0,0,0,0,0,0,,,,,,280,0,0
93,*,BBA1096-0499,SAT : Largs (408),3-5 Tron Place,,Largs,,,KA30 8AR,01475 686522,,0,0,0,84,04/04/2020,,,,408,123,0,0,0,0,,2022-05-12 10:55:20.000,paul.mallett,largsshop@satcol.org,,,,,,1635582169,0,0,0,0,0,0,0,0,,,,,,280,0,0
94,*,BBA1096-0500,SAT : Prestwick (615) CLOSED JUNE 2020,72 Main Street,,Prestwick,,,KA9 1PA,01292 478403,,0,0,0,84,04/04/2020,,,,615,92,0,0,0,0,,2022-06-21 09:03:10.000,becky.jardine,prestwickshop@satcol.org,,,,,,1338892532,0,0,276,0,0,0,0,0,,,,,,280,0,0
95,*,BBA1096-0501,SAT : Walton on Thames (655) CLOSED Nov 2020,44 High Street,,Walton-on-thames,,,KT12 1BY,01932 269256,,0,0,0,70,04/04/2020,,,,655,138,0,0,0,0,,2022-06-23 10:25:18.000,becky.jardine,waltononthamesshop@satcol.org,,,,,,-863204663,0,0,0,0,0,0,0,0,,,,,,280,0,0
96,*,BBA1096-0502,SAT : Leatherhead (653) CLOSED 13/07/2021,26 High Street,,Leatherhead,,,KT22 8AW,01372 388274,,0,0,0,70,04/04/2020,,,,653,193,0,0,0,0,,2022-06-21 09:00:25.000,becky.jardine,leatherheadshop@satcol.org,,,,,,1990955148,0,0,276,0,0,0,0,0,,,,,,280,0,0
97,*,BBA1096-0503,SAT : New Malden (625) SITE CLOSED AUG 2020,77 High Street,,New Malden,,,KT3 4BT,0208 942 5581,,0,0,0,70,04/04/2020,,,,625,129,0,0,0,0,,2022-06-21 09:01:04.000,becky.jardine,newmaldenshop@satcol.org,,,,,,-658555845,0,0,276,0,0,0,0,0,,,,,,280,0,0
99,*,BBA1096-0505,SAT : Inverkeithing (21) CLOSED 31/07/2021,3 Hope Street,Inverkeithing,Fife,,,KY11 1LW,01383 411510,,0,0,0,82,04/04/2020,,,,21,44,0,0,0,0,,2022-06-21 08:59:48.000,becky.jardine,inverkeithingshop@satcol.org,,,,,,-1451359910,0,0,276,0,0,0,0,0,,,,,,280,0,0
458,*,BBA1596-0032,MPX : Marble Arch Gas x 4,55 Bryanston Street,,London,,,W1H7AA,,,0,0,0,0,31/12/2020,,,,,0,0,0,0,0,,2022-07-19 09:01:21.000,becky.jardine,,,,,,,-2015602352,0,0,276,0,0,0,0,0,,,,,,280,0,0
1482,*,BBA1096-1254,SAT : Worcester DC (976),St Martins Gate,,Worchester,,,WR1 2JA,,,0,0,0,0,,,,,976,788.93,0,0,0,0,,2023-05-17 10:11:24.000,paul.mallett,Worcester.DC@satcol.org,,,,,,835661061,0,0,0,0,0,0,0,0,,,,,,280,0,0
1522,NULL,BBA1613-0001,PPG : Golders Green,610 Finchley Road,,London,,,NW11 7RX,,,0,0,0,0,,,,,,0,0,0,0,0,,2025-09-15 08:53:03.000,paul.mallett,,,,,,,587758219,0,0,0,0,0,0,0,0,,,,,,280,0,0
98,*,BBA1096-0504,SAT : Kirkcaldy (407),Unit 57a The Mercat Shopping Centre,High Street,Kirkcaldy,,,KY1 1NG,01592 646928,,0,0,0,82,04/04/2020,,,,407,191,0,0,0,0,,2022-05-12 10:55:27.000,paul.mallett,kirkcaldyshop@satcol.org,,,,,,-2042779510,0,0,0,0,0,0,0,0,,,,,,280,0,0
100,*,BBA1096-0506,SAT : Dunfermline (40),33-35 High Street,,Dunfermline,,,KY12 7DL,01383 729179,,0,0,0,82,04/04/2020,,,,40,319,0,0,0,0,,2022-05-12 10:55:30.000,paul.mallett,dunfermlineshop@satcol.org,,,,,,183955969,0,0,0,0,0,0,0,0,,,,,,280,0,0
101,*,BBA1096-0619,SAT : Cupar (674),43 Crossgate,Cupar,Fife,,,KY15 5AS,01334 652907,,0,0,0,82,04/04/2020,,,,674,88,0,0,0,0,,2022-05-12 10:57:07.000,paul.mallett,cuparshop@satcol.org,,,,,,-668503094,0,0,0,0,0,0,0,0,,,,,,280,0,0
102,*,BBA1096-0614,SAT : St. Andrews (684),21 Church Street,,St Andrews,,,KY16 9NW,01334 474762,,0,0,0,82,04/04/2020,,,,684,119,0,0,0,0,,2022-05-12 10:57:04.000,paul.mallett,standrewsshop@satcol.org,,,,,,1556429910,0,0,0,0,0,0,0,0,,,,,,280,0,0
103,*,BBA1096-0507,SAT : Glenrothes (429),5b Postgate,Kingdom Centre,Glenrothes,,,KY7 5LH,015927 58883,,0,0,0,82,04/04/2020,,,,429,188,0,0,0,0,,2022-05-12 10:55:32.000,paul.mallett,glenrothesshop@satcol.org,,,,,,-1231184099,0,0,0,0,0,0,0,0,,,,,,280,0,0
104,*,BBA1096-0508,SAT : Leven (667),78 High Street,Leven,Fife,,,KY8 4NB,01333 421172,,0,0,0,82,04/04/2020,,,,667,234,0,0,0,0,,2022-05-12 10:55:33.000,paul.mallett,levenshop@satcol.org,,,,,,-1188782428,0,0,0,0,0,0,0,0,,,,,,280,0,0
105,*,BBA1096-0623,SAT : Ormskirk (686),13 Aughton Street,,Ormskirk,,,L39 3BH,01695 575698,,0,0,0,76,04/04/2020,,,,686,88,0,0,0,0,,2022-05-12 10:57:11.000,paul.mallett,ormskirkshop@satcol.org,,,,,,-781657855,0,0,0,0,0,0,0,0,,,,,,280,0,0
106,*,BBA1096-0509,SAT : Lancaster (643),57 Market Street,,Lancaster,,,LA1 1JG,01524 542710,,0,0,0,76,04/04/2020,,,,643,169,0,0,0,0,,2022-05-12 10:55:35.000,paul.mallett,lancastershop@satcol.org,,,,,,314259719,0,0,0,0,0,0,0,0,,,,,,280,0,0
107,*,BBA1096-1072,SAT : Morecambe (789),47-49 Euston Road,The Arndale Morecambe Bay Shopping Centre,Morecambe,,,LA4 5DQ,01524 406142,,0,0,0,76,04/04/2020,,,,789,144,0,0,0,0,,2022-05-12 10:58:52.000,paul.mallett,morecambeshop@satcol.org,,,,,,-935078490,0,0,0,0,0,0,0,0,,,,,,280,0,0
108,*,BBA1096-0510,SAT : Kendal (639),63 Highgate,,Kendal,Cumbria,,LA9 4ED,01539 734396,,0,0,0,77,04/04/2020,,,,639,199,0,0,0,0,,2022-05-12 10:55:36.000,paul.mallett,kendalshop@satcol.org,,,,,,-1042269793,0,0,0,0,0,0,0,0,,,,,,280,0,0
109,*,BBA1096-0909,SAT : Loughborough (768),34 Devonshire Square,Loughborough,Leicestershire,,,LE11 3DW,01509 260697,,0,0,0,75,04/04/2020,,,,768,99,0,0,0,0,,2022-05-12 10:58:22.000,paul.mallett,loughboroughshop@satcol.org,,,,,,118704067,0,0,0,0,0,0,0,0,,,,,,280,0,0
110,*,BBA1096-0511,SAT : Melton Mowbray (20),Unit 8/9 Bell Centre,Nottingham Street,Melton Mowbray,,,LE13 1PJ,01664 565355,,0,0,0,75,04/04/2020,,,,20,224,0,0,0,0,,2022-05-12 10:55:38.000,paul.mallett,meltonmowbrayshop@satcol.org,,,,,,1574653177,0,0,0,0,0,0,0,0,,,,,,280,0,0
111,*,BBA1096-0512,SAT : Wrexham (642),39 Regent Street,,Wrexham,,,LL11 1RY,01978 261657,,0,0,0,86,04/04/2020,,,,642,133,0,0,0,0,,2022-11-16 11:25:22.000,paul.mallett,wrexhamshop@satcol.org,,,,,,-1311206118,0,0,0,0,0,0,0,0,,,,,,280,0,0
112,*,BBA1096-1103,"SAT : Morley, Leeds (791)",Unit 3 Queens Street,,Leeds,,,LS27 8DW,0113 204 9786,,0,0,0,80,04/04/2020,,,,791,81,0,0,0,0,,2022-05-12 10:59:00.000,paul.mallett,morleyshop@satcol.org,,,,,,-1700082632,0,0,0,0,0,0,0,0,,,,,,280,0,0
113,*,BBA1096-0514,SAT : Luton (42),1 Cheapside Mall,The Arndale Centre,Luton,,,LU1 2AX,01582 400 518,,0,0,0,70,04/04/2020,,,,42,217,0,0,0,0,,2022-05-12 10:55:41.000,paul.mallett,lutonshop@satcol.org,,,,,,-336091681,0,0,0,0,0,0,0,0,,,,,,280,0,0
114,*,BBA1096-0756,SAT : Wellington St Luton (Furniture) (694) closed Dec 22,29 Wellington Street,,Luton,Beds,,LU1 2QH,01582 457638,,0,0,0,70,04/04/2020,,,,694,329,0,0,0,0,,2023-01-18 09:02:13.000,lesley.lawther,lutonfurnitureshop@satcol.org,,,,,,-970947357,0,0,0,0,0,0,0,0,,,,,,280,0,0
115,*,BBA1096-0886,SAT : Leighton Buzzard (764),20  Waterbourne Walk,,Leighton Buzzard,,,LU7 1DH,01525 375669,,0,0,0,70,04/04/2020,,,,764,160,0,0,0,0,,2022-05-12 10:58:15.000,paul.mallett,leightonbuzzardshop@satcol.org,,,,,,-1351797665,0,0,0,0,0,0,0,0,,,,,,280,0,0
144,*,BBA1096-1104,SAT : Kettering (796),40 Gold Street,Kettering,Northampton,,,NN16 8JB,01536 523289,,0,0,0,75,04/04/2020,,,,796,238,0,0,0,0,,2022-05-12 10:59:01.000,paul.mallett,ketteringshop@satcol.org,,,,,,-1461787310,0,0,0,0,0,0,0,0,,,,,,280,0,0
145,*,BBA1096-0538,SAT : Wellingborough (15),28a Market Street,,Wellingborough,Northants,,NN8 1AT,01933 226354,,0,0,0,70,04/04/2020,,,,15,129,0,0,0,0,,2022-05-12 10:56:14.000,paul.mallett,wellingboroughshop@satcol.org,,,,,,-2135238755,0,0,0,0,0,0,0,0,,,,,,280,0,0
154,*,BBA1096-0546,SAT : Gosport (411),50 High Street,,Gosport,,,PO12 1DF,02392 529189,,0,0,0,72,04/04/2020,,,,411,189,0,0,0,0,,2022-05-12 10:56:20.000,paul.mallett,gosportshop@satcol.org,,,,,,-1950233867,0,0,0,0,0,0,0,0,,,,,,280,0,0
155,*,BBA1096-0547,SAT : Ryde (417),153 High Street,Ryde,Isle of Wight,,,PO33 2HT,01983 565184,,0,0,0,72,04/04/2020,,,,417,102,0,0,0,0,,2023-02-16 11:41:37.000,becky.jardine,rydeshop@satcol.org,,,,,,833641019,0,0,0,0,0,0,0,0,,,,,,280,0,0
116,*,BBA1096-0740,SAT : Ardwick (Manchester) (693),Unit 11 Grove Village Parade,184 Stockport Road,Ardwick,Manchester,,M13 9AB,0161 273 1463,,0,0,0,76,04/04/2020,,,,693,149,0,0,0,0,,2022-05-12 10:57:27.000,paul.mallett,ardwickshop@satcol.org,,,,,,303179624,0,0,0,0,0,0,0,0,,,,,,280,0,0
117,*,BBA1096-0515,SAT : Bedford (16),113 High Street,,Bedford,,,MK40 1NU,01234 212798,,0,0,0,70,04/04/2020,,,,16,168,0,0,0,0,,2022-05-12 10:55:43.000,paul.mallett,bedfordshop@satcol.org,,,,,,1650439636,0,0,0,0,0,0,0,0,,,,,,280,0,0
118,*,BBA1096-0516,SAT : Motherwell (306),16-18 Brandon Arcade,,Motherwell,,,ML1 1RJ,01698 239628,,0,0,0,84,04/04/2020,,,,306,103,0,0,0,0,,2022-05-12 10:55:46.000,paul.mallett,motherwellshop@satcol.org,,,,,,-664435093,0,0,0,0,0,0,0,0,,,,,,280,0,0
119,*,BBA1096-0517,SAT : Wishaw (630),2 Kirk Road,,Wishaw,,,ML2 7BL,01698 355823,,0,0,0,84,04/04/2020,,,,630,205,0,0,0,0,,2022-05-12 10:55:47.000,paul.mallett,wishawshop@satcol.org,,,,,,-1555445290,0,0,0,0,0,0,0,0,,,,,,280,0,0
120,*,BBA1096-0518,SAT : Bellshill (36),259 Main Street,,Bellshill,,,ML4 1AJ,01698 746051,,0,0,0,84,04/04/2020,,,,36,117,0,0,0,0,,2022-05-12 10:55:49.000,paul.mallett,bellshillshop@satcol.org,,,,,,-1708408425,0,0,0,0,0,0,0,0,,,,,,280,0,0
121,*,BBA1096-0519,SAT : Bellshill Warehouse (35) CLOSED March 2022,"Unit 4, Block 23, Motherwell Park",Bellshill Industrial Estate,Bellshill,,,ML4 3NP,01698 740914,,0,0,0,84,04/04/2020,,,,35,487,0,0,0,0,,2022-12-05 16:15:59.000,paul.mallett,bellshillwarehouse@satcol.org,,,,,,-126328734,0,0,0,0,0,0,0,0,,,,,,280,0,0
122,*,BBA1096-0520,SAT : Coatbridge (416),98 Main Street,,Coatbridge,,,ML5 3BQ,01236 435324,,0,0,0,84,04/04/2020,,,,416,254,0,0,0,0,,2022-05-12 10:55:51.000,paul.mallett,coatbridgeshop@satcol.org,,,,,,-1331324124,0,0,0,0,0,0,0,0,,,,,,280,0,0
